Date,Month/Day,Total Trips,Total Miles Traveled,Total Annual Members (All Time),24-Hour Passes Purchased,3-Day Passes Purchased,Month,Weekday Name,Day Number,Year,Day
2018-05-27,5/27,25813,78075,267815,1631,82,5,Sunday,6,2018,27
2018-05-28,5/28,49040,140226,268037,5148,267,5,Monday,0,2018,28
2018-05-29,5/29,69090,170334,268305,2896,249,5,Tuesday,1,2018,29
2018-05-30,5/30,72321,159297,268645,2742,216,5,Wednesday,2,2018,30
2018-05-31,5/31,55798,123710,268998,1414,101,5,Thursday,3,2018,31
2018-06-01,6/1,62890,147780,269167,3049,250,6,Friday,4,2018,1
2018-06-02,6/2,60287,158528,269371,5634,307,6,Saturday,5,2018,2
2018-06-03,6/3,50041,134416,269544,3892,154,6,Sunday,6,2018,3
2018-06-04,6/4,58910,130774,269763,2372,166,6,Monday,0,2018,4
2018-06-05,6/5,71906,155007,269934,2682,199,6,Tuesday,1,2018,5
2018-06-06,6/6,69797,154726,270119,2479,173,6,Wednesday,2,2018,6
2018-06-07,6/7,70478,160532,270274,2808,198,6,Thursday,3,2018,7
2018-06-08,6/8,72696,163188,270455,3915,283,6,Friday,4,2018,8
2018-06-09,6/9,65239,171623,270657,6917,292,6,Saturday,5,2018,9
2018-06-10,6/10,41639,106867,270825,3136,112,6,Sunday,6,2018,10
