start station id,Station Name,start station latitude,start station longitude,Number of Starts 2018,Percentage of Total Starts 2018,end station id,end station latitude,end station longitude,Number of Ends 2018,Percentage of Total Ends 2018
3137.0,5 Ave & E 73 St,40.77282817,-73.96685276,3220.0,7.03,3137,40.77282817,-73.96685276,2606,3.39
361.0,Allen St & Hester St,40.71605866,-73.99190759,3200.0,6.99,361,40.71605866,-73.99190759,2877,3.74
485.0,W 37 St & 5 Ave,40.75038009,-73.98338988,3198.0,6.98,485,40.75038009,-73.98338988,2762,3.59
403.0,E 2 St & 2 Ave,40.72502876,-73.99069656,3178.0,6.94,403,40.72502876,-73.99069656,2998,3.9
515.0,W 43 St & 10 Ave,40.76009437,-73.99461843,3172.0,6.93,515,40.76009437,-73.99461843,2910,3.78
412.0,Forsyth St & Canal St,40.715815500000005,-73.99422366,3165.0,6.91,412,40.715815500000005,-73.99422366,2694,3.5
305.0,E 58 St & 3 Ave,40.76095756,-73.96724467,3151.0,6.88,305,40.76095756,-73.96724467,2636,3.43
268.0,Howard St & Centre St,40.71910537,-73.99973337,3131.0,6.84,268,40.71910537,-73.99973337,2804,3.65
3142.0,1 Ave & E 62 St,40.761227399999996,-73.96094022,3112.0,6.79,3142,40.761227399999996,-73.96094022,2505,3.26
528.0,2 Ave & E 31 St,40.74290902,-73.97706058,3101.0,6.77,528,40.74290902,-73.97706058,2739,3.56
484.0,W 44 St & 5 Ave,40.75500254,-73.98014437,3095.0,6.76,484,40.75500254,-73.98014437,2760,3.59
301.0,E 2 St & Avenue B,40.72217444,-73.98368779,3081.0,6.73,301,40.72217444,-73.98368779,2912,3.79
303.0,Mercer St & Spring St,40.72362738,-73.99949601,3072.0,6.71,303,40.72362738,-73.99949601,2833,3.68
334.0,W 20 St & 7 Ave,40.74238787,-73.99726235,3062.0,6.69,334,40.74238787,-73.99726235,2791,3.63
520.0,W 52 St & 5 Ave,40.75992262,-73.97648516,3049.0,6.66,520,40.75992262,-73.97648516,2773,3.61
546.0,E 30 St & Park Ave S,40.74444921,-73.98303529,3034.0,6.62,546,40.74444921,-73.98303529,2807,3.65
524.0,W 43 St & 6 Ave,40.75527307,-73.98316936,3028.0,6.61,524,40.75527307,-73.98316936,2744,3.57
317.0,E 6 St & Avenue B,40.72453734,-73.98185424,3012.0,6.58,317,40.72453734,-73.98185424,2898,3.77
174.0,E 25 St & 1 Ave,40.7381765,-73.97738662,3000.0,6.55,174,40.7381765,-73.97738662,2766,3.6
532.0,S 5 Pl & S 5 St,40.710451,-73.960876,2993.0,6.53,532,40.710451,-73.960876,2571,3.34
167.0,E 39 St & 3 Ave,40.7489006,-73.97604882,2992.0,6.53,167,40.7489006,-73.97604882,2654,3.45
495.0,W 47 St & 10 Ave,40.76269882,-73.99301222,2989.0,6.53,495,40.76269882,-73.99301222,2691,3.5
388.0,W 26 St & 10 Ave,40.74971775,-74.00295035,2953.0,6.45,388,40.74971775,-74.00295035,2589,3.37
3093.0,N 6 St & Bedford Ave,40.71745169,-73.95850939,2952.0,6.45,3093,40.71745169,-73.95850939,2814,3.66
448.0,W 37 St & 10 Ave,40.75660359,-73.9979009,2942.0,6.42,448,40.75660359,-73.9979009,2642,3.44
